dt_name,Officer_Count
0,1
11-AbesanINJ-T1-Aboru-ADELUSI,1
11-AbesanINJ-T1-Aboru-AYO-AFOLABI 1,1
11-AbesanINJ-T1-Aboru-AYO-AFOLABI 2,1
11-AbesanINJ-T1-Aboru-BELLO,1
11-AbesanINJ-T1-Aboru-BOLA I,1
11-AbesanINJ-T1-Aboru-BOLA II,1
11-AbesanINJ-T1-Aboru-EDUN,1
11-AbesanINJ-T1-Aboru-ERO FAMILY,1
11-AbesanINJ-T1-Aboru-EVERGREEN,1
11-AbesanINJ-T1-Aboru-HOLY TIMOTHY,1
11-AbesanINJ-T1-Aboru-IFEDOLA,1
11-AbesanINJ-T1-Aboru-IREPODUN,1
11-AbesanINJ-T1-Aboru-JAMES AJAYI,1
11-AbesanINJ-T1-Aboru-OGUNDAPO,1
11-AbesanINJ-T1-Aboru-OLA OMOTOYE,1
11-AbesanINJ-T1-Aboru-OLA-MUMMY,1
11-AbesanINJ-T1-Aboru-OLAJIDE,1
11-AbesanINJ-T1-Aboru-OLORUNSOGO 1,1
11-AbesanINJ-T1-Aboru-ORISUNBARE&BLESSING COMMUNITY,1
11-AbesanINJ-T1-Aboru-PEACE AVENUE,1
11-AbesanINJ-T1-Aboru-QUADRI,1
11-AbesanINJ-T1-Aboru-SOREMEKUN,1
11-AbesanINJ-T1-Aboru-UNITY,1
11-AbesanINJ-T1-Aboru-YINUSA SANNI,1
11-AbesanINJ-T1-Baruwa-2 STOREY,1
11-AbesanINJ-T1-Baruwa-2 STOREY 2,1
11-AbesanINJ-T1-Baruwa-ADULOJU,1
11-AbesanINJ-T1-Baruwa-AFOLAYAN,1
11-AbesanINJ-T1-Baruwa-AJELANWA 1,1
11-AbesanINJ-T1-Baruwa-AJELANWA 2,1
11-AbesanINJ-T1-Baruwa-AKINTARA,1
11-AbesanINJ-T1-Baruwa-BARUWA 1,1
11-AbesanINJ-T1-Baruwa-BARUWA 2,1
11-AbesanINJ-T1-Baruwa-FASHANU,1
11-AbesanINJ-T1-Baruwa-FATADE 1,1
11-AbesanINJ-T1-Baruwa-FATADE 2,1
11-AbesanINJ-T1-Baruwa-FATOYE,1
11-AbesanINJ-T1-Baruwa-IPIN RERE,1
11-AbesanINJ-T1-Baruwa-JEMEGBE,1
11-AbesanINJ-T1-Baruwa-KOKUMO,1
11-AbesanINJ-T1-Baruwa-MAJOR AKINLADE,1
11-AbesanINJ-T1-Baruwa-NEW LONDON 1,1
11-AbesanINJ-T1-Baruwa-NEW LONDON 2,1
11-AbesanINJ-T1-Baruwa-NEW LONDON 3,3
11-AbesanINJ-T1-Baruwa-OLAYIWOLA,1
11-AbesanINJ-T1-Baruwa-PEACE,1
11-AbesanINJ-T1-Baruwa-PEACE 2,1
11-AbesanINJ-T1-Baruwa-PROGRESS,3
11-AbesanINJ-T1-Baruwa-SALAMOTU,1
11-AbesanINJ-T1-Baruwa-UNITY,2
11-AbesanINJ-T1-Baruwa-UWAGBOE,3
11-AbesanINJ-T1-Ipaja-ABULE OKI,1
11-AbesanINJ-T1-Ipaja-CHURCH,3
11-AbesanINJ-T1-Ipaja-DIAMOND,3
11-AbesanINJ-T1-Ipaja-FATOLU,1
11-AbesanINJ-T1-Ipaja-GODWIN,1
11-AbesanINJ-T1-Ipaja-IKOLA 1,4
